Name,Description,Address,Website ,Outdoor/Indoor,"Budget per person 

Free
Low ($1-$20)
High ($20+)","What kind of vibe are you looking for?

Chill/ Sport / Study/ Social/ Romantic","Distance from residence

short (0-3 km)
medium (3 - 5 km)
high (5+km)",Food available? (Y/N),Plugs/outlets available? (Y/N),Free Wifi available?,Do you want a Quiet or crowded place?,Wheelchair accessible?,Opening time (SUN),Closing time (SUN) ,Opening time (FRI),Closing time (FRI),Opening time (SAT),Closing time (SAT)
Cherry Blossom Festival,"Traditional Japanese Performances, food stalls, and cultural exhibitions",1610 Geary Blvd,https://sfcherryblossom.org/,Outdoor ,Free,"Chill, Social, Romantic",High,Y,N,N,Crowded,Y,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM
Earth Day Festival,"Earth Day celebration with live music, eco-friendly vendors, educational workshops.",750 Howard St.,https://yerbabuenagardens.org/events/2025earthday/,Outdoor ,Free,"Chill, Social, Romantic",Short,Y,N,N,Crowded,Y,6:00 AM,10:00 PM,6:00 AM,10:00 PM,6:00 AM,10:00 PM
SF Art Fair,Contemporary and Modern artworks from over 70 galleries.,"2 Marina Blvd Landmark Building C, Suite 260",https://sanfranciscoartfair.com/,Indoor,Free,"Chill, Social, Romantic",Short,Y,N,Y,Crowded,Y,11:00 AM,6:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM
Sunset Dunes Park,Oceanfront Park.,Great Hwy & Noriega St.,https://sfrecpark.org/1555/Sunset-Dunes,Outdoor ,Free,"Chill, Social, Romantic",High,N,N,N,Crowded,Y,7:00 AM,7:00 PM,7:00 AM,5:00 PM,7:00 AM,7:00 PM
Candlelight Concert ,Classical Music in candlelight settings,4705 3rd St.,https://www.san-francisco-theater.com/shows/bayview-opera-house/candlelight-rings-dragons,Indoor,High,Romantic,Medium,Y,N,N,Quiet,Y,6:30 PM,7:30 PM,6:30 PM,7:30 PM,6:30 PM,7:30 PM
SF Giants Home Game,Baseball Game,24 Willie Mays Plaza,https://www.mlb.com/giants,Outdoor,High,"Social, Sports",Short,Y,N,N,Crowded,Y,,,,,,
Fat Ham at SF Playhouse,"James Ijames' Pulitzer Prize-winning play: a modern, queer Southern reimagining of Shakespeare's Hamlet, set at a family barbecue. ",450 Post St.,https://www.sfplayhouse.org/sfph/2024-2025-season/fat-ham/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_PZL3wgtD6MKEBr5RZrIHPc5j5p7ErY3qlyWIQ4m4-KwIfcF-M-zoaAuOiEALw_wcB,Indoor,Low,"Chill, Social, Romantic",Short,N,N,N,Crowded,Y,2:00 PM,3:40 PM,8:00 PM,9:40 PM,3:00 PM,4:40 PM
EmotionAir Installations,"Inflatable Installations, blending art with emotion in a sensory experience.",3601 Lyon St,https://tickets.balloonmuseum.world/emotion-air-san-francisco/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac8GVm8JeJQtqndnk1Xynk8Uce4j3ij6di9ZrCZO1vd8-p8veVG_M5EaAk2aEALw_wcB,Indoor,High,"Social, Romantic",Medium ,N,N,N,Crowded,Y,10:00 AM,8:00 PM,11:00 AM,8:00 PM,10:00 AM,9:00 PM
Bay Area Brew Festival,"Featuring over 50 beweries, beers, food trucks and DJs.",105 Montgomery St.,https://www.bayareabrewfestival.com/,Outdoor,High,"Social, Chill",Short,Y,N,N,Crowded,Y,x,x,x,x,1:00 PM,4:00 PM
Chess Night Game,Play chess with strangers and socialize,2131 Lombard Street,https://docs.google.com/spreadsheets/d/12YhXN0mMB7BfGv36T4jn-orYDwi7aN9JXiVeZ5eKl98/edit?gid=0#gid=0 ,Outdoor,Free,"Social, Chill",Medium,N,Y,Y,Crowded,Y,10:00 AM,8:00 PM,11:00 AM,8:00 PM,10:00 AM,9:00 PM
Japanese Tea Garden Visit,"Located in Golden Gate Park, this serene garden features traditional Japanese architecture, koi ponds, bonsai trees, and a tea house.",75 Hagiwara Tea Garden Drive,https://gggp.org/japanese-tea-garden/?gad_source=1&gad_campaignid=21017713825&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac-Eh3nR-L57seTH6H2SMpxTf71qTdLXxLEWIq_fQquu9sGRzOaf1CYaAl5fEALw_wcB,Outdoor,Low,"Romantic, Chill",Medium,N,N,Y,Quiet,Y,9:00 AM,5:30 PM,9:00 AM,5:30 PM,9:00 AM,5:30 PM
Dolores Park,"A vibrant and scenic park in the Mission District, known for its sunny weather, stunning views of downtown SF.",19th street,https://sfrecpark.org/facilities/facility/details/Mission-Dolores-Park-188,Outdoor,Free,"Romantic, Chill, Social",Short,N,N,N,Crowded,Y,6:00 AM,10:00 PM,6:00 AM,10:00 PM,6:00 AM,10:00 PM
Downtown First Thursdays,"A monthly art and culture night where museums, galleries, and local businesses in downtown areas open late with free or discounted admission, special exhibits, and live performances.",Between Market & Howard,https://www.dftsf.com/,Outdoor,Low,"Social, Chill",Short,Y,N,N,Crowded,Y,9:00 AM,5:30 PM,9:00 AM,5:30 PM,9:00 AM,5:30 PM
Balloon Museum,The museum of inflatable art with 60 artists from around the globe,Palace of Fine Arts,https://tickets.balloonmuseum.world/emotion-air-san-francisco/,Indoor,Low,"Social, Chill",Medium,N,N,Y,Crowded,Y,10:00 AM,8:00 PM,11:00 AM,8:00 PM,10:00 AM,9:00 PM
Asian Art Museum,One of the largest museums in the Western world devoted exclusively to Asian art.,Larkin Street,https://asianart.org/?gad_source=1&gad_campaignid=21002195167&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac9JjXW2mpFTOjkJRc7lv_iL_1c0v5G2F2ThPgxyWKOT8Zqk7aieWxIaAoZREALw_wcB,Indoor,Low,"Social, Chill",Short,N,Y,Y,Quiet,Y,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM
Queen Wilhelmina Tulip Garden,"A beautiful, seasonal garden located near the Dutch Windmill in Golden Gate Park. It's filled with vibrant tulips and other spring flowers. ","1690 John F Kennedy Dr, SF",https://sfrecpark.org/908/Golden-Gate-Park---Queen-Wilhelmina-Gard,Outdoor,Free,Chill,High,N,N,N,Quiet,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Painted Ladies,Iconic Victorian-style houses famous for their vibrant colors and postcard-perfect view with the San Francisco skyline in the background.,"San Francisco, CA 94117",https://www.sftravel.com/things-to-do/attractions/iconic-sf/painted-ladies,Outdoor,Free,"Chill, Social, Romantic",Medium,N,Y,N,Crowded,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Fisherman's wharf,"The neighborhood known for its seafood (especially clam chowder in sourdough bowls), street performers, sea lions at Pier 39, souvenir shops, and attractions like Madame Tussauds and the Aquarium.",Beach street,https://www.fishermanswharf.org/,"Outdoor, Indoor",Low,"Chill, Social, Romantic",Medium,Y,N,N,Crowded,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Golden Gate Park,"A massive urban park stretching over 1,000 acres, larger than Central Park in NYC. Itâ€™s home to museums, gardens, trails, lakes, bison paddocks, and more.","501 Stanyan St, San Francisco",https://sfrecpark.org/770/Golden-Gate-Park,Outdoor,Free,"Chill, Social, Romantic, Sport",Medium,N,N,N,Quiet,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Ina Coolbrith Park,"A small, hidden gem in the Russian Hill neighborhood offering one of the best panoramic views of the Bay Bridge, Coit Tower, and downtown SF","Vallejo & Taylor, Vallejo Street",https://sanfranciscoparksalliance.org/explore-parks/ina-coolbrith-park/,Outdoor,Free,"Chill, Social, Romantic",Short,N,N,N,Quiet,N,5:00 AM,12:00 AM,5:00 AM,12:00 AM,5:00 AM,12:00 AM
San Francisco Botanical Garden,"Located within Golden Gate Park, garden contains over 8,000 different kinds of plants from around the world.",9th Avenue,https://gggp.org/san-francisco-botanical-garden/,Outdoor,Low,"Chill, Social, Romantic",High,N,N,N,Quiet,Y,7:30 AM,6:00 PM,7:30 AM,6:00 PM,7:30 AM,6:00 PM
Strawberry Hill,"A hill in the middle of Stow Lake within Golden Gate Park. Features walking trails, a waterfall, and peaceful spots to sit and enjoy nature",Golden Gate Park,https://en.wikipedia.org/wiki/Strawberry_Hill_(San_Francisco),Outdoor,Free,"Chill, Sport, Social, Romantic",High,N,N,N,Quiet,N,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM
Pioneer Park,"Home to the famous Coit Tower, this park sits atop Telegraph Hill and offers sweeping views of the Bay Area",Telegram Hill Boulevard,https://maps.app.goo.gl/VVk6ime2wVdmyF7fA?g_st=com.google.maps.preview.copy ,Outdoor,Free,"Chill, Social, Romantic",Short,N,N,N,Quiet,Y,5:00 AM,12:00 AM,5:00 AM,12:00 AM,5:00 AM,12:00 AM
AndyTown Salesforce,Cafe to Study around Salesforce Tower with a park nearby,"Rooftop, Park Level, 181 Fremont St, San Francisco, CA 94105",https://www.andytownsf.com/locations?srsltid=AfmBOopalwo_B552eDfWKsWu5wFWE6ITzZCe0bDOoqDBrAcTrXyEr2PG,Indoor,Low,"Study, Chill, Social",Short,Y,Y,Y,Quiet,Y,9:00 AM,3:00 PM,8:00 AM,3:00 PM,9:00 AM,3:00 PM
SFF Mission Bay,"Play soccer here, solo or with your friends","701 Mission Bay Boulevard North, San Francisco, CA 94158",https://www.sffsoccer.com/,Outdoor,Free,"Sport, Social",Short,Y,N,N,Crowded,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
Benchmark Climbing,Indoor climibing,"1414 Van Ness Ave, San Francisco, CA 94109",https://www.benchmarkclimbing.com/,Indoor,High,"Sport, Social",Short,N,N,Y,Quiet,N,10:00 AM,7:00 PM,11:00 AM,10:00 PM,10:00 AM,7:00 PM
YMCA,"Gym, swimming, sauna, etc","169 Steuart St, San Francisco, CA 94105",https://www.ymcasf.org/location/embarcadero-ymca/,Indoor,High,Sport,Short,N,N,Y,Quiet,Y,x,x,5:30 AM,9:00 PM,7:00 AM,2:00 PM
The Crossing,Paddle,"250 Main St, San Francisco, CA 94105",https://www.eastcutcrossing.com/,Outdoor,High,"Sport, Social",Short,Y,N,Y,Crowded,Y,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM
Lands End,Hiking,"680 Point Lobos Ave, San Francisco, CA 94121",https://www.nps.gov/goga/planyourvisit/landsend.htm,Outdoor,Free,"Sport, Social",Medium,N,N,N,Quiet,Y,12:00 AM,11:59 PM,12:00 AM,11:59 PM,12:00 AM,11:59 PM
China Camp State Park,Camping,"101 Peacock Gap Trail, San Rafael, CA 94901",https://friendsofchinacamp.org/,Outdoor,High,"Chill, Sport, Social, Romantic",High,Y,N,N,Quiet,?,8:00 AM,7:30 PM,8:00 AM,7:30 PM,8:00 AM,7:30 PM
Joe & the Juice,Cafe to study,235 Montgomery St.,https://www.joejuice.com/,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Crowded,Y,7:00 AM,8:00 PM,6:30 AM,8:00 PM,7:00 AM,8:00 PM
Peets Coffee,Cafe to study,773 Market street,"https://www.peets.com/pages/store-locator?stockist-query=San%20Francisco,%20CA,%20USA&selected=773%20Market%20St.",Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Crowded,Y,5:30 AM,5:00 PM,5:30 AM,5:00 PM,5:30 AM,5:00 PM
Blue Bottle,Cafe to study,705 Market Street,https://bluebottlecoffee.com/us/eng,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Quiet,Y,6:30 AM,5:30 PM,6:30 AM,5:30 PM,6:30 AM,5:30 PM
Motoring coffee,Cafe to study,1525 Union street,https://www.motoring.coffee/,Indoor,Low,"Chill, Study, Social",Short,Y,N,Y,Quiet,Y,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM
Cafe Reveille,Cafe to study,1998 Polk street,https://www.cafereveille.com/,Indoor,Low,"Chill, Study, Social",Short,Y,Y,Y,Quiet,Y,7:30 AM,7:30 PM,7:30 AM,7:30 PM,7:30 AM,7:30 PM
Him Mark Lai Branch Library,Chinatown Library,1135 Powell street,https://sfpl.org/locations/chinatown,Indoor,Free,Study,Short,N,Y,Y,Quiet,N,1:00 PM,5:00 PM,1:00 PM,6:00 PM,10:00 AM,6:00 PM
Mission Bay Branch Library,Mission Bay Branch Library,960 4th street,https://sfpl.org/locations/mission-bay,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00 PM,5:00 PM,1:00 PM,6:00 PM,10:00 AM,6:00 PM
SF Public Library,"Public Library in SF, the main branch",100 Larkin Street,https://sfpl.org/locations/main-library,Indoor,Free,Study,Short,N,Y,Y,Quiet,N,12:00 PM,6:00 PM,12:00 PM,6:00 PM,10:00 PM,6:00 PM
Potrero Branch Library,Potrero Branch Library,1616 20th Street,https://sfpl.org/locations/potrero,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00 PM,5:00 PM,1:00 PM,6:00 PM,10:00 AM,6:00 PM
Golden Gate Valley Branch Library,Golden Gate Valley Branch Library,1801 Green Street,https://sfpl.org/locations/golden-gate-valley,Indoor,Free,Study,Short,N,Y,Y,Quiet,Y,1:00 PM,5:00 PM,1:00 PM,6:00 PM,10:00 AM,6:00 PM